文件名,1小时热度,2小时热度,3小时热度,4小时热度,6小时热度,9小时热度,总热度,总影响范围,紧急程度4小时,敏感程度,话题倾向,严重系数1小时,严重系数2小时,严重系数3小时,严重程度3小时
男方准备10万彩礼女方要30万,104101,104452,104452,104452,104452,171057,237863,大,不紧急,1,0,0.3046875,0.327044025,0.327044025,中度偏离
白鹿直拍,1070268,1070402,1070699,1070699,1070699,1070699,1070699,超大,不紧急,0,0,0.333333333,0.3125,0.35,中度偏离
百日咳今年已致13人死亡,11487,24880,41288,60427,60427,60427,60427,中,非常紧急,2,-1,0.75,0.844339623,0.832848837,特重度偏离
相亲强奸案当事男子改判无罪获赔57万,2606,2606,2606,2606,2606,2606,2606,小,不紧急,2,-1,0.75,0.75,0.75,重度偏离
睡前不刷牙将是对牙齿的恐怖待遇,5663,6342,6394,6414,6826,8977,18203,中,不紧急,0,-1,0.438405797,0.444972826,0.444095478,中度偏离
福宝欢迎回家,1403,1403,1403,1403,1403,1403,19278,中,不紧急,0,1,0,0,0,轻度偏离
秦海璐学王安宇拍照姿势,1349,1518,1518,1518,1518,1518,1518,小,不紧急,0,0,0.308510638,0.25,0.25,轻度偏离
空降,90,90,90,90,90,90,90,小,不紧急,0,0,0,0,0,轻度偏离
第一批去埃及旅行的人快被骗到裸奔了,1841,1841,1841,1841,1841,1841,1841,小,不紧急,2,-1,0.75,0.75,0.75,重度偏离
索纳塔打响中级车反击战,8,8,8,8,28,882,8019,小,不紧急,0,0,0.5,0.5,0.5,中度偏离
网易云 没有删库没有跑路,1675,1761,1783,1790,1807,4241,4826,小,不紧急,0,0,0.005535055,0.006896552,0.006622517,轻度偏离
胡歌二封白玉兰视帝,36348,38973,38973,38973,38973,38973,41158,中,不紧急,0,1,0.03576159,0.032051282,0.032051282,轻度偏离
腐败,171,171,171,171,171,171,171,小,不紧急,3,-1,1,1,1,特重度偏离
花儿与少年,138,138,138,138,138,138,138,小,不紧急,0,0,0.5,0.5,0.5,中度偏离
花样年华,406,416,432,449,515,533,3266,小,不紧急,0,0,0,0.020833333,0.046875,轻度偏离
莎头战胜韩国队,26,26,26,26,26,26,123,小,不紧急,0,1,0,0,0,轻度偏离
莎头晋级混双决赛,3455,3873,4185,4465,4465,4655,7308,小,不紧急,0,1,0.160447761,0.154929578,0.148648649,轻度偏离
莫斯科,788,788,788,788,788,788,788,小,不紧急,0,0,0,0,0,轻度偏离
莫斯科恐袭救援结束,160,464,464,467,517,552,3225,小,不紧急,3,-1,3,2,2,特重度偏离
